SlNo,Institute
696,K.B.S.S'S.Vairag.R.R.Polytechnic
,K.B.S.Ss.Vairag.R.R.Polytechnic
701,Ransamrat Kreeda Mandal'S Rajarshi Shahu Institute Of Technology
708,Dharti Jnseva Pratishthn'S Diploma In Engineering & Technology Institute
,Dharti Jnseva Pratishthn'S Diploma In Engineering and Technology Institute
712,Kai.Parshuramji Jadhav Engineering College
715,Shri Chhatrapati Shivaji Shikshan Sanstha Adas
717,Dr.V.K.Patil Engineering College.
,Dr V K Patil Engineering College
718,Bharati Vidyapeeth’S Group of Institute
719,New Satara College Of Engineering & Management
729,Dr. P D Patil College Of Engineering And Technology
,Dr P D Patil College Of Engineering & Technology
,Dr P D Patil College Of Engineering and Technology
,Dr. P D Patil College Of Engineering and Technology
732,C M College Of Engineering & Technical Institute
,C M College Of Engineering and Technical Institute
735,2 Signal Training Centre
737,Don Bosco College Of Engineering
740,Government Polytechnic Panaji
741,Agnel Polytechnic
742,Government Polytechnic Curchorem
743,Institute Of Shipbuilding Technology
744,Government Polytechnic Mayem Bicholim
745,Quantum School Of Technology
746,Uttaranchal Institute Of Technology
747,Dev Bhoomi Institute Of Technology For Women
748,College Of Engineering Roorkee
749,Institute Of Technology Roorkee
750,Modern Institute Of Technology
751,Shivalik College Of Engineering
754,Bishamber Sahai Institute Of Technology
755,College Of Technology Pantnagar
756,Dehradun Institute Of Technology
757,Shriram Institue Of Management & Technology Pg College
,Shriram Institue Of Management and Technology Pg College
758,Bishamber Sahai Diploma Engineering College
759,Roorkee Institute Of Technology
760,Shree Dev Bhoomi Institute Of Education Science & Technology
,Shree Dev Bhoomi Institute Of Education Science and Technology
761,Roorkee Colleg Eor Engineering
763,Doon College Of Engineering & Technology
,Doon College Of Engineering and Technology
764,BFIT Technical Campus
765,Get Group Of Institution Faculty Of Technology
766,J B Institute Of Technology
767,Beehive College Of Engineering & Technology
,Beehive College Of Engineering and Technology
768,Guru Ram Das Institute Of Management & Technology
,Guru Ram Das Institute Of Management and Technology
769,Kumaon Engineering College
770,Government Polytechnic Garur
771,Govt Polytechnic Kanda
772,Amrapali Institute Of Technology And Sciences
773,Doon Institute Of Management And Technology
,Doon Institute Of Management & Technology
775,Dit Faculty Of Architecture
776,Saraswati Institute Of Mangament & Technology
,Saraswati Institute Of Mangament and Technology
777,Rookee College Of Management & Computer Application
,Rookee College Of Management and Computer Application
778,Omkarananda Institute Of Management And Technology
779,Amrapali Institute Of Management & Computer Application
,Amrapali Institute Of Management and Computer Application
780,Shakambhari Institute Of Higher Education & Technology
,Shakambhari Institute Of Higher Education and Technology
782,Daas College Of Management And Technology
783,Uttaratech Polytechnic
784,College Of Advanced
785,Motherhood Institute Of Management & Technology
,Bsm College Of Polytechnic
,Balwant Singh Mukhiya College Of Polytechnic
786,Balwant Singh Mukhiya(Bsm) College Of Polytechnic
787,Birla Institute Of Applied Sciences
788,Doon Institute Of Engineering And Tech
789,Uttarkhand Institute Of Technical And Prefessonal Education
790,G.B.Pant Engineering College
,G B Pant Engineering College
791,Mahadevi Institute Of Technology
792,Shri Guru Ram Rai Institute Of Technology & Scinece
,Shri Guru Ram Rai Institute Of Technology and Scinece
794,Alpine College Of Management & Technology
,Alpine College Of Management and Technology
795,Swami Darshnananda Institute Of Management And Technolgy
796,Beehive College Of Managemnet & Technology
,Beehive College Of Managemnet and Technology
797,Om Institute Of Technology
800,Govt. Girls Polytechnic
,Government Girls Polytechnic
801,Government Polytechnic
825,Late Genral Bipin Chandra Joshi Government Rural Polytechtakula
828,Government Polgovernment Polytechnic Sahiya
830,K.L. Polytechnic
,K L Polytechnic
833,Bengal College Of Engineering & Technology
,Bengal College Of Engineering And Technology
834,Adamas Institute Of Technology
835,Narula Institute Of Technology
836,Rcc Institute Of Information Technology
837,Techno Global-Balurghat
838,Netaji Subhash Engineering College
839,Techno India Hooghly
840,Haldia Institute Of Technology
841,Iercem Institute Of Information Technology
842,Swami Viveka Institute Of Science &Technology
,Swami Viveka Institute Of Science and Technology
843,Asansol Engineering College
844,Bengal Institute Of Technology
845,Gurunanak Institute Of Technology
846,Ideal Institute Of Engineering
847,JLD College Of Engineering And Management
848,Techno India
849,College Of Engineering & Management
,College Of Engineering and Management
850,Saroj Mohan Institute Of Technology
851,Mallabhum Institute Of Technology
852,Institute Of Engineering & Management
,Institute Of Engineering and Management
853,Gargi Memorial Institute Of Technology Campus
854,Dumkal Institute Of Engineering & Technology
,Dumkal institute Of Engineering and Technology
855,Gupta College Of Technological Sciences
856,Institute Of Technology & Marine Engineering
,Institute Of Technology and Marine Engineering
857,Heritage Institute Of Technology
859,Bengal College Of Engineering And Technology
860,Dr. B.C. Roy Engineering College
,Dr B C Roy Engineering College
861,Bankura Unnayani Institute Of Engineering
862,Birbhum Institute Of Engineering & Technology
,Birbhum Institute Of Engineering and Technology
863,Durgapur Institute Of Advanced Technology & Management
,Durgapur Institute Of Advanced Technology and Management
864,Camellia Institute Of Technology
865,Hooghly Engineering & Technology College
,Hooghly Engineering and Technology College
866,Aryabhatta Institute Of Engineering & Management Durgapur
,Aryabhatta Institute Of Engineering and Management Durgapur
867,Govt College Of Engg & Textile Technology
,Government College of Engineering &  Textile Technology
868,Bengal School Of Technology
869,Bengal Institute Of Technology And Management
870,Kanad Institute Of Engineering & Management
,Kanad Institute Of Engineering and Management
871,Modern Institute Of Engineering & Technology
,Modern Institute Of Engineering and Technology
872,Institute Of Jute Technology
873,Budge Budge Institute Of Technology
874,Camellia School Of Engineering & Technology
875,JIS College Of Engineering
876,Meghnad Saha Institute Of Technology
877,Dream Institute Of Technology
878,Techno India College Of Technology
879,Jalpaiguri Government Engineering College
881,Kalyani Government Engineering College
882,Bengal Institute Of Technology
883,Mckv Institute Of Engineering
884,Computer Application Centre Heritage Institue Of Technology
885,Seacom Engineering College
886,Techno India
887,Academy Of Technology
888,The New Horizons Institute Of Technology
889,Siliguri Institute Of Technology
890,Imps College Of Engineering & Technology
,Imps College Of Engineering and Technology
891,Govt. College Of Engineering And Textile Technology
,Govt. College Of Engineering & Textile Technology
892,University Of Kalyani Department Of Computer Science And Engineering
,University of Kalyani Department Of Computer Science & Engineering
893,Institute Of Science And Technology
894,Dr. Sudhir Chandra Sur Degree Engineering College
895,Siliguri Institute Of Technology
896,Abacus Institute Of Engineering And Management
,Abacus Institute Of Engineering & Management
897,Greater Kolkata College Of Engineering & Management
,Greater Kolkata College Of Engineering and Management
898,Technique Polytechnic Institute
899,JIS School Of Polytechnic
900,Siliguri Institute Of Technology
901,Pailan College Of Management & Technology (Mba Division)
,Pailan College Of Management and Technology
902,Kingston Engineering College
903,Surendra Institute Of Engineering &Management
905,Falakata Polytechnic
906,Rajmati Parichand Bothra Memorial Jiaganj College Of Engineering & Technology
,Rajmati Parichand Bothra Memorial Jiaganj College Of Engineering and Technology
907,Global Institute Of Science & Technology
,Global Institute Of Science and Technology
908,Nibedita Institute Of Technology
909,Bishnupur Public Institute Of Engineering
911,Camellia Institute Of Engineering
912,Global Institute Of Management And Technology
914,Kalna Polytechnic
915,Kanksa Academy Of Technology & Management
,Kanksa Academy Of Technology and Management
916,Santiniketan Institute Of Polytechnic
917,K. G. Engineering Institute
,K G Engineering Institute
918,Sylvan Polytechnic College
919,Nazrul Centenary Polytechnic
920,University College Of Science & Technology
,University College Of Science and Technology
921,Elite Polytechnic Institute
922,St. Thomas' College Of Engineering & Technology
,St. Thomas' College Of Engineering and Technology
923,North Calcutta Polytechnic
924,Sree Ramkrishna Silpa Vidyapith
925,Purulia Polytechnic
926,Asansol Poly
927,Women'S Polytechnic
928,Malda Polytechnic
929,Department Of Physics The University Of Burdwan
930,Government College Of Engineering & Ceramictechnology
,Government College Of Engineering and Ceramictechnology
931,Engineering Institute For Junior Executives
932,Kanyapur Polytechnic
933,The Calcutta Technical School
935,Jnan Chandra Ghosh Polytechnic
936,Shree Ramkrishna Institute Of Science &Technology
,Shree Ramkrishna Institute Of Science and Technology
937,Hooghly Institute Of Technology
938,Pailan College Of Management & Technology
,Pailan College Of Management and Technology
939,Dumkal Polytechnic
941,National Institute Of Technical Teacher'S Training & Research
,National Institute Of Technical Teacher'S Training and Research
942,Murshidabad Institute Of Technology
943,Sheikhpara Abdur Rahaman Memorial Polytechnic
944,Dr. Meghnad Saha Institute Of Technology
,Dr Meghnad Saha Institute Of Technology
945,Contai Polytechinc
946,Bundwan Polytechnic
947,Iswar Chandra Vidyasagar
948,Kingstone Polytechnic College
949,Acharyya Prafula Chandra Ray Polytechnic
950,Sidhu Kanhu Birsa Polytechnic
951,Harasankar Bhattachaarya Institute Technology & Mining
,Harasankar Bhattachaarya Institute Technology and Mining
952,Pilani College Of Management & Technology Tech Division
,Pilani College Of Management and Technology Tech Division
953,Gobindapur Sephali Memorial Polytechnic
954,Elitte Institute Of Engineering Andmanagement
955,Faculty Of Technology Uttar Banda Krishi Vishvidyalaya
956,Minerva Polytechnic
957,Basantika Institute Of Engineering & Technology
,Basantika Institute Of Engineering and Technology
958,Calcutta Institute Of Technology
959,Calcutta Institute Of Engineering And Management
,Calcutta Institute Of Engineering & Management
960,University Institute Of Technology
961,Central Calcutta Polytechnic
963,Government College Of Engineering And Leather Technology
,Government College Of Engineering & Leather Technology
964,Cooch Behar Polytechnic
965,Mbc Institute Of Engineering & Technology
,Mbc Institute Of Engineering and Technology
966,Birla Institute Of Technology
967,Camellia Institute Of Engineering And Technology
,Camellia Institute Of Engineering & Technology
968,Jalpaiguri Polytechnic Institute
969,Raiganj Polytechnic
970,Bharat Technology
971,Acharya Jagadish Chandra Bose Polytechnic
972,Scm Institute Of Engineering And Technology
,Scm Institute Of Engineering & Technology
973,Bipradas Palchowdhury Institute Of Technology
974,Siliguri Government Polytechnic
975,Darjeeling Polytechnic
976,West Bengal Univercity O Technology
977,Murshidabad College Of Engineering & Technology
,Murshidabad College Of Engineering and Technology
978,Rajendranath College Ogpolytechnic
979,Institute Of Science & Technology
,Institute Of Science And Technology
980,Vidyasagar University
981,St. Mary's Technical Campus
982,Bengal Engineering And Science University
,Bengal Engineering & Science University
983,The University Of Burdwan Department Of Computer Scinece
984,Camellia College Of Polytechnic
985,Camellia Institute Of Polytechnic
986,Bengal Institute Of Polytechnic
987,Gobindapur Polytechnic College
988,Vivekanand Institute Of Technolgy & Science
,Vivekanand Institute Of Technolgy and Science
989,Ideal Institute Of Technology
990,Northern India Engineering College
991,Om Sai Institute Of Technology And Science
,Om Sai Institute Of Technology & Science
992,B B S College Of Engineering & Technology
,B B S College Of Engineering and Technology
993,Moradabad Institute Of Technology
994,Kanpur Institute Of Technology
995,Hindustan College Of Science & Technology
,Hindustan College Of Science and Technology
996,JP Institute Of Engineering & Technology
,JP Institute Of Engineering and Technology
997,Doon College Of Engineering And Technology
,Doon College Of Engineering & Technology
